epoch,stable_dims,step,train_C,train_D,train_D_topk,train_I,train_I_topk,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_D_topk,val_I,val_I_topk,val_dim_kl,val_kl,val_loss,val_pred,val_recon
0,1.0,47,0.8474215269088745,0.3971712589263916,,0.05252063274383545,,,,,,,,0.6187028884887695,0.4104940891265869,,0.2551107108592987,,524.8241577148438,0.0005248241941444576,2.2695021629333496,0.9502555131912231,0.26374438405036926
0,,47,,,,,,0.0,1256.350830078125,0.0012563508935272694,2.6426589488983154,0.9634522795677185,0.33559009432792664,,,,,,,,,,
1,0.0,95,0.922224760055542,0.7091022729873657,,0.04244333878159523,,,,,,,,0.7824774384498596,0.41766825318336487,,0.15983378887176514,,3700.676025390625,0.003700676141306758,2.1290035247802734,0.9502448439598083,0.23501159250736237
1,,95,,,,,,1.261400818824768,1484.5546875,0.0014845547266304493,2.8396549224853516,0.9656810164451599,0.248357892036438,,,,,,,,,,
2,0.0,143,0.8036016821861267,0.2178395390510559,,0.10026167333126068,,,,,,,,0.8058431148529053,0.47148561477661133,,0.15190209448337555,,4026.760498046875,0.004026760347187519,1.951171875,0.9501035213470459,0.19940829277038574
2,,143,,,,,,0.6499276757240295,3131.214599609375,0.003131214762106538,2.3421876430511475,0.9616169929504395,0.21049506962299347,,,,,,,,,,
3,0.0,191,0.7670276761054993,0.3314436078071594,,0.11201482266187668,,,,,,,,0.7849370241165161,0.4558827579021454,,0.15843679010868073,,3170.669677734375,0.003170670010149479,1.5715854167938232,0.9500080347061157,0.12368135154247284
3,,191,,,,,,0.6905998587608337,3710.0771484375,0.0037100764457136393,2.1222219467163086,0.9603831171989441,0.16256581246852875,,,,,,,,,,
4,0.0,239,0.79683917760849,0.25108054280281067,,0.10542736202478409,,,,,,,,0.801641583442688,0.43010133504867554,,0.15706264972686768,,2626.531494140625,0.00262653105892241,1.3702210187911987,0.9499838352203369,0.08352211117744446
4,,239,,,,,,0.7577002644538879,3011.142333984375,0.0030111419036984444,1.8649314641952515,0.9603597521781921,0.10454205423593521,,,,,,,,,,
5,0.0,287,0.7800379395484924,0.23410311341285706,,0.08129289001226425,,,,,,,,0.8047413229942322,0.42372584342956543,,0.15334051847457886,,5396.62744140625,0.005396626889705658,1.3553454875946045,0.9497873187065125,0.08003232628107071
5,,287,,,,,,0.8970885276794434,3028.712646484375,0.0030287120025604963,1.7922052145004272,0.9602291584014893,0.07608064264059067,,,,,,,,,,
6,2.0,335,0.7982567548751831,0.2836822271347046,0.2525786757469177,0.11263010650873184,0.3370392918586731,,,,,,,0.8199846148490906,0.4311111271381378,0.6252984404563904,0.14640377461910248,0.36835628747940063,3021.54150390625,0.003021541517227888,1.1477158069610596,0.8990234136581421,0.04913420230150223
6,,335,,,,,,0.6929357647895813,3521.248046875,0.003521247999742627,1.6363238096237183,1.0014078617095947,0.05698540806770325,,,,,,,,,,
7,2.0,383,0.7811950445175171,0.28448134660720825,0.22031240165233612,0.096039317548275,0.2831062376499176,,,,,,,0.8123922944068909,0.44715824723243713,0.5854102373123169,0.14272265136241913,0.36366045475006104,4065.880615234375,0.0040658810175955296,1.112691044807434,0.8956704139709473,0.04259097948670387
7,,383,,,,,,0.7050440311431885,3643.088134765625,0.0036430899053812027,1.5887422561645508,1.0012264251708984,0.04627014324069023,,,,,,,,,,
8,2.0,431,0.7706713080406189,0.3184167146682739,0.2903960645198822,0.10807652771472931,0.32067522406578064,,,,,,,0.8367801308631897,0.5027125477790833,0.593758225440979,0.1421705186367035,0.39266398549079895,4138.5546875,0.004138554446399212,1.1017003059387207,0.8960597515106201,0.0403003953397274
8,,431,,,,,,0.7336103916168213,3699.444580078125,0.003699444467201829,1.5734912157058716,1.0030425786972046,0.03998877853155136,,,,,,,,,,
