Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1770878147.925	 11122.503	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_0824/600811.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
1	:	1770877847.887	 12484.480	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_7024/1512668.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
5	:	1770879049.404	 11499.121	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4290/279355.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
4	:	1770878749.224	 12167.342	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4279/421488.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
3	:	1770878448.385	 14272.260	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_0914/742017.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
7	:	1770879650.823	 13311.253	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4307/296841.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
6	:	1770879349.856	 15743.223	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4307/267595.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
9	:	1770890332.369	  9552.500	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4384/273993.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
11	:	1770890933.449	 10871.849	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4384/990073.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
12	:	1770892720.647	  9139.855	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4385/642470.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
13	:	1770893020.905	  9960.134	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4585/11044824.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
14	:	1770895093.080	  9917.223	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/029_S_4585/298523.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
