epoch,stable_dims,step,train_C,train_D,train_I,train_cluster,train_kl,train_loss,train_pred,train_recon,train_tc,val_C,val_D,val_I,val_kl,val_loss,val_pred,val_recon,val_tc
0,0.0,45,0.9465727210044861,0.804778516292572,0.04176789149641991,,,,,,,0.4482358396053314,0.3414696455001831,0.37669333815574646,-237.22560119628906,752892.375,1.2912392616271973,753128.3125,-681.896484375
0,,45,,,,0.0,-2395.818603515625,838263.625,10.209144592285156,840649.375,-655.9871215820312,,,,,,,,
1,0.0,91,0.7986619472503662,0.4066980183124542,0.05221521854400635,,,,,,,0.44998735189437866,0.3432282507419586,0.36309900879859924,-2485.65576171875,589398.0,1.076633095741272,591882.5625,-665.448486328125
1,,91,,,,13.098050117492676,-2893.537109375,658898.375,1.024461030960083,661784.375,-673.6188354492188,,,,,,,,
2,0.0,137,0.7494327425956726,0.33509260416030884,0.07281278818845749,,,,,,,0.46163299679756165,0.3426348865032196,0.3690928816795349,-2837.994873046875,441866.1875,1.0652059316635132,444703.125,-701.307373046875
2,,137,,,,1.1965750455856323,-3078.352294921875,491448.65625,0.9696780443191528,494525.34375,-706.6408081054688,,,,,,,,
3,0.0,183,0.7149417996406555,0.3026171326637268,0.09057573229074478,,,,,,,0.45129555463790894,0.34485670924186707,0.3768515884876251,-2924.953369140625,305828.03125,1.0647066831588745,308751.90625,-700.0592651367188
3,,183,,,,0.7663489580154419,-3034.63037109375,353075.90625,0.9621917605400085,356109.15625,-701.86376953125,,,,,,,,
4,1.0,229,0.6685092449188232,0.3069666922092438,0.10146057605743408,,,,,,,0.4554716646671295,0.3336023986339569,0.38069549202919006,-3056.731201171875,222674.9375,1.0655490159988403,225730.609375,-695.3546752929688
4,,229,,,,0.7384658455848694,-3001.3916015625,255022.40625,0.9662848711013794,258022.4375,-698.9439697265625,,,,,,,,
5,1.0,275,0.710868239402771,0.31687453389167786,0.0959496796131134,,,,,,,0.46603256464004517,0.35166436433792114,0.37012308835983276,-3005.3515625,147854.40625,1.0638372898101807,150858.6875,-685.7356567382812
5,,275,,,,0.8222405910491943,-3023.813232421875,179329.203125,0.9656115770339966,182351.59375,-689.083984375,,,,,,,,
6,1.0,321,0.5827841758728027,0.3137476444244385,0.26344984769821167,,,,,,,0.47758087515830994,0.5186799764633179,0.49493566155433655,-3019.126708984375,118983.4140625,0.9383529424667358,122001.609375,-680.6298828125
6,,321,,,,0.712881326675415,-3014.787109375,129485.8359375,0.9803418517112732,132499.296875,-682.6887817382812,,,,,,,,
7,2.0,367,0.5459814667701721,0.30723080039024353,0.3395680785179138,,,,,,,0.4841115176677704,0.5014505386352539,0.5161206722259521,-3066.0419921875,97329.2421875,0.8495962619781494,100394.4375,-678.492431640625
7,,367,,,,0.6195605397224426,-2972.33056640625,104336.7578125,0.951752781867981,107307.8359375,-669.8992309570312,,,,,,,,
8,5.0,413,0.5746660232543945,0.3130681812763214,0.3619418442249298,,,,,,,0.48844125866889954,0.4815458059310913,0.5283363461494446,-2996.888427734375,86244.703125,0.8131009936332703,89240.7734375,-669.4656982421875
8,,413,,,,0.6872983574867249,-2982.266357421875,89397.765625,0.8955101370811462,92378.8046875,-668.5208129882812,,,,,,,,
9,3.0,459,0.5693359971046448,0.3131099045276642,0.3576214909553528,,,,,,,0.503791868686676,0.4988177716732025,0.5389328598976135,-2845.587890625,75827.5703125,0.7670251131057739,78672.3828125,-660.3018798828125
9,,459,,,,0.7197496294975281,-2880.489013671875,79680.4453125,0.8364056944847107,82559.734375,-656.8174438476562,,,,,,,,
10,1.0,505,0.6565350294113159,0.8405844569206238,0.04381394758820534,,,,,,,0.47014063596725464,0.5755785703659058,0.3342014253139496,-2987.938232421875,70151.34375,1.0416933298110962,73138.2421875,-668.07666015625
10,,505,,,,0.502622127532959,-2840.74365234375,72374.84375,1.0384360551834106,75214.3046875,-651.0040893554688,,,,,,,,
11,3.0,551,0.57447350025177,0.32901236414909363,0.3876241445541382,,,,,,,0.5139646530151367,0.4874257445335388,0.5260828137397766,-2937.25146484375,64772.328125,0.6898459196090698,67708.890625,-660.0685424804688
11,,551,,,,0.7214609980583191,-2899.09521484375,66790.3359375,0.7591987252235413,69688.296875,-656.6231079101562,,,,,,,,
12,6.0,597,0.5895687937736511,0.31664663553237915,0.3963566720485687,,,,,,,0.5118287205696106,0.4956234097480774,0.5438103079795837,-2897.883544921875,60899.0,0.6420127749443054,63796.2421875,-651.5313720703125
12,,597,,,,0.5690236687660217,-2865.13720703125,62511.75390625,0.7054881453514099,65375.90234375,-648.3058471679688,,,,,,,,
13,4.0,643,0.602883517742157,0.3390485942363739,0.40265047550201416,,,,,,,0.5270750522613525,0.4852468967437744,0.535768985748291,-2914.246337890625,57150.0625,0.6675171256065369,60063.640625,-654.877685546875
13,,643,,,,0.5546792149543762,-2883.58447265625,58819.57421875,0.6653447151184082,61702.21875,-647.6143188476562,,,,,,,,
14,6.0,689,0.5775793790817261,0.3240286707878113,0.4135033190250397,,,,,,,0.51500403881073,0.47606512904167175,0.5425997972488403,-2889.2412109375,54417.3671875,0.5759682059288025,57306.0234375,-646.0632934570312
