epoch,stable_dims,step,train_C,train_D,train_I,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_I,val_dim_kl,val_kl,val_loss,val_pred,val_recon
23,,1151,,,,0.6370386481285095,10108.296875,0.01010829582810402,1.0393686294555664,0.5777997970581055,0.026588277891278267,,,,,,,,
24,3.0,1199,0.7322847843170166,0.6206088066101074,0.44263625144958496,,,,,,,0.7815629839897156,0.605039119720459,0.4710599184036255,6461.56494140625,0.006461564917117357,0.7639870047569275,0.6237325668334961,0.0267585888504982
24,,1199,,,,0.6271775960922241,9489.6044921875,0.009489602409303188,1.021795630455017,0.5676003098487854,0.026223400607705116,,,,,,,,
25,4.0,1247,0.7343945503234863,0.6165292859077454,0.443821519613266,,,,,,,0.7852303981781006,0.6633906364440918,0.47906258702278137,3948.092041015625,0.003948091994971037,0.9531775712966919,0.8160772323608398,0.0266304612159729
25,,1247,,,,0.5862604379653931,9415.8916015625,0.009415891952812672,1.0013362169265747,0.5692479014396667,0.025908440351486206,,,,,,,,
26,9.0,1295,0.727031409740448,0.6371164321899414,0.45809662342071533,,,,,,,0.7460222840309143,0.6998118162155151,0.48136603832244873,9537.40625,0.0095374071970582,0.7094306945800781,0.5719320178031921,0.025592269375920296
26,,1295,,,,0.6025163531303406,9331.4306640625,0.009331430308520794,0.9870354533195496,0.5477076172828674,0.025747647508978844,,,,,,,,
27,6.0,1343,0.7410540580749512,0.6108711361885071,0.4595916271209717,,,,,,,0.7514469623565674,0.6621418595314026,0.49213236570358276,5512.4013671875,0.005512401461601257,0.7630068063735962,0.6295620799064636,0.025586478412151337
27,,1343,,,,0.5983198285102844,8925.5908203125,0.008925587870180607,0.976978600025177,0.5412692427635193,0.025524763390421867,,,,,,,,
28,7.0,1391,0.7261804938316345,0.6703298091888428,0.4678177237510681,,,,,,,0.7605673670768738,0.7016541957855225,0.49761131405830383,4729.884765625,0.004729885142296553,0.9112437963485718,0.7773502469062805,0.02583272196352482
28,,1391,,,,0.6130029559135437,8620.359375,0.00862035807222128,0.9795651435852051,0.5382224917411804,0.025244204327464104,,,,,,,,
29,12.0,1439,0.7225230932235718,0.6581926345825195,0.47076141834259033,,,,,,,0.7542850375175476,0.7060250043869019,0.5036184191703796,8409.92578125,0.008409926667809486,0.70649254322052,0.5705181956291199,0.02551288902759552
29,,1439,,,,0.6099053025245667,8229.3779296875,0.008229379542171955,0.9700040221214294,0.5316528677940369,0.025033852085471153,,,,,,,,
30,18.0,1487,0.7107758522033691,0.6803370714187622,0.4778764545917511,,,,,,,0.7535988092422485,0.7206851243972778,0.515863835811615,6247.333984375,0.006247334182262421,0.6721465587615967,0.5405778884887695,0.025064263492822647
30,,1487,,,,0.5739182829856873,7607.07421875,0.007607073988765478,0.9388694763183594,0.5199832320213318,0.024864012375473976,,,,,,,,
31,11.0,1535,0.7118028402328491,0.6740549206733704,0.4812060594558716,,,,,,,0.7383741736412048,0.7066215872764587,0.5037969350814819,10938.888671875,0.010938887484371662,0.9225417375564575,0.7876965403556824,0.024781279265880585
31,,1535,,,,0.6003110408782959,7309.20068359375,0.0073092021048069,0.9486222863197327,0.5178012847900391,0.024671273306012154,,,,,,,,
32,10.0,1583,0.7262341380119324,0.664902925491333,0.4918215274810791,,,,,,,0.7417098879814148,0.6930476427078247,0.5165427923202515,7037.63916015625,0.007037638686597347,0.7167899012565613,0.5863804817199707,0.02467435784637928
32,,1583,,,,0.5946847796440125,6919.59375,0.00691959448158741,0.9329227805137634,0.5069752931594849,0.024337055161595345,,,,,,,,
33,7.0,1631,0.6980315446853638,0.6306949853897095,0.48950448632240295,,,,,,,0.7270470261573792,0.6914649605751038,0.5314467549324036,2338.983154296875,0.002338983118534088,1.5754215717315674,1.4442014694213867,0.025776224210858345
33,,1631,,,,0.5862680673599243,6561.642578125,0.006561641115695238,0.9317793250083923,0.5115227699279785,0.024112142622470856,,,,,,,,
34,17.0,1679,0.7041736245155334,0.656515896320343,0.5048027038574219,,,,,,,0.7170333862304688,0.6752791404724121,0.5443760752677917,5039.64892578125,0.005039649084210396,0.6448361277580261,0.5176410675048828,0.024431074038147926
34,,1679,,,,0.5707218647003174,6318.89794921875,0.006318897474557161,0.911314070224762,0.49895524978637695,0.02413581870496273,,,,,,,,
35,10.0,1727,0.6962950825691223,0.6502056121826172,0.5290674567222595,,,,,,,0.7321478128433228,0.6770481467247009,0.5428752303123474,10344.2470703125,0.01034424640238285,0.8186400532722473,0.6844174265861511,0.0247756689786911
35,,1727,,,,0.5576342940330505,6170.01806640625,0.0061700171791017056,0.8724286556243896,0.46791425347328186,0.02390546351671219,,,,,,,,
36,15.0,1775,0.7024024128913879,0.6478988528251648,0.5130762457847595,,,,,,,0.7162157297134399,0.6842519640922546,0.5643175840377808,4581.15673828125,0.0045811571180820465,0.6880012154579163,0.5622254610061646,0.02423892728984356
36,,1775,,,,0.5735768675804138,6040.40380859375,0.006040405016392469,0.9071443676948547,0.49495449662208557,0.02387220226228237,,,,,,,,
37,10.0,1823,0.7103028893470764,0.63942950963974,0.5261420607566833,,,,,,,0.7326868176460266,0.6823486685752869,0.5590604543685913,5685.935546875,0.005685936193913221,0.7862493395805359,0.6558017134666443,0.024952339008450508
37,,1823,,,,0.554663360118866,5693.10595703125,0.005693105980753899,0.872046709060669,0.4715318977832794,0.02349800616502762,,,,,,,,
38,13.0,1871,0.6926974654197693,0.6288123726844788,0.5339851975440979,,,,,,,0.7509537935256958,0.6706289052963257,0.5560155510902405,6643.34130859375,0.006643340457230806,1.1416865587234497,1.0096790790557861,0.025072813034057617
38,,1871,,,,0.5754833817481995,5554.87548828125,0.005554873961955309,0.865308940410614,0.45500460267066956,0.023401563987135887,,,,,,,,
39,13.0,1919,0.7101984024047852,0.6539148092269897,0.5398291945457458,,,,,,,0.7366620302200317,0.686640202999115,0.5524333119392395,8909.9365234375,0.008909936994314194,0.7056806087493896,0.5772936940193176,0.023895392194390297
39,,1919,,,,0.5670567154884338,5212.52685546875,0.005212526302784681,0.8783031105995178,0.4736514389514923,0.023182174190878868,,,,,,,,
40,1.0,1967,0.7028496265411377,0.38747331500053406,0.272371381521225,,,,,,,0.7352312803268433,0.4414779841899872,0.36046725511550903,4242.2470703125,0.004242247436195612,1.0080333948135376,0.8849954009056091,0.023759150877594948
40,,1967,,,,0.5597140192985535,4528.6787109375,0.0045286803506314754,1.3778685331344604,0.9770662188529968,0.023283347487449646,,,,,,,,
41,13.0,2015,0.6902579665184021,0.6112709045410156,0.5220593810081482,,,,,,,0.7214305996894836,0.6907179951667786,0.5560486316680908,7877.51318359375,0.007877513766288757,0.7426295280456543,0.611238420009613,0.024702731519937515
41,,2015,,,,0.567317545413971,4984.68408203125,0.004984683822840452,0.9448702335357666,0.5403731465339661,0.02317068725824356,,,,,,,,
42,21.0,2063,0.7011746168136597,0.6735545992851257,0.5412005186080933,,,,,,,0.7173225283622742,0.7049281597137451,0.577764093875885,3589.711181640625,0.003589711617678404,0.648581326007843,0.5285758376121521,0.02328314818441868
42,,2063,,,,0.536714494228363,4876.25439453125,0.0048762536607682705,0.8546275496482849,0.4669952392578125,0.022879771888256073,,,,,,,,
43,17.0,2111,0.6970204710960388,0.6278859376907349,0.5451661348342896,,,,,,,0.7452162504196167,0.680194616317749,0.5747887492179871,6942.8115234375,0.006942810956388712,0.6444926857948303,0.5200946927070618,0.023491034284234047
43,,2111,,,,0.5656705498695374,4588.94287109375,0.004588942509144545,0.8527402281761169,0.45128896832466125,0.022805407643318176,,,,,,,,
44,17.0,2159,0.6874811053276062,0.6622947454452515,0.5649573802947998,,,,,,,0.715456485748291,0.6657218337059021,0.5860981941223145,5216.81689453125,0.005216816905885935,0.6714588403701782,0.5413616299629211,0.02497607283294201
44,,2159,,,,0.5495643019676208,4377.17138671875,0.0043771713972091675,0.8306570649147034,0.43635690212249756,0.023028187453746796,,,,,,,,
45,12.0,2207,0.6866264939308167,0.6771087646484375,0.5752228498458862,,,,,,,0.700588047504425,0.6881479620933533,0.5983282923698425,2806.87841796875,0.0028068784158676863,0.7983770370483398,0.6804896593093872,0.023016104474663734
45,,2207,,,,0.5296693444252014,4236.2880859375,0.0042362879030406475,0.8372406959533691,0.453951358795166,0.02284369431436062,,,,,,,,
46,18.0,2255,0.6787447333335876,0.6852465271949768,0.5824356079101562,,,,,,,0.7256667017936707,0.7085919380187988,0.5932324528694153,4449.11865234375,0.004449118860065937,0.9214025139808655,0.8002961874008179,0.02333143539726734
46,,2255,,,,0.5628337264060974,4180.41064453125,0.004180409945547581,0.8197371363639832,0.4203847348690033,0.022751031443476677,,,,,,,,
47,4.0,2303,0.6720262169837952,0.6513451337814331,0.5511185526847839,,,,,,,0.7005884051322937,0.6546745896339417,0.5787233710289001,4829.0546875,0.004829054698348045,0.6317887306213379,0.5078803300857544,0.023815862834453583
47,,2303,,,,0.5471197962760925,4227.5791015625,0.004227579105645418,0.8207123875617981,0.42798757553100586,0.022987520322203636,,,,,,,,
48,14.0,2351,0.6841626167297363,0.6172590255737305,0.5581123232841492,,,,,,,0.7005428671836853,0.7111186385154724,0.5946326851844788,4088.45654296875,0.004088456276804209,0.5609673857688904,0.4417739808559418,0.02302098646759987
48,,2351,,,,0.6847262382507324,5685.09130859375,0.0056850905530154705,0.8982904553413391,0.43521979451179504,0.023004494607448578,,,,,,,,
49,16.0,2399,0.6860920190811157,0.6438981890678406,0.5692175030708313,,,,,,,0.691338837146759,0.6935592889785767,0.5946009755134583,4822.0625,0.00482206279411912,0.6110858917236328,0.49217158555984497,0.022818448022007942
49,,2399,,,,0.6189529299736023,5380.92724609375,0.0053809271194040775,0.8318548798561096,0.4049517810344696,0.022409172728657722,,,,,,,,
50,11.0,2447,0.6788731813430786,0.6119126677513123,0.58869868516922,,,,,,,0.7033849358558655,0.6865127086639404,0.6075875163078308,5143.93310546875,0.005143932998180389,0.5387337803840637,0.4200623333454132,0.022705508396029472
50,,2447,,,,0.5452126860618591,5005.47021484375,0.005005470011383295,0.8076857924461365,0.41823509335517883,0.02236776612699032,,,,,,,,
51,16.0,2495,0.6780228614807129,0.629301130771637,0.6007436513900757,,,,,,,0.6791614890098572,0.6975283622741699,0.6114360690116882,3043.177978515625,0.003043178003281355,0.6200885772705078,0.5023768544197083,0.022933723405003548
51,,2495,,,,0.5403878092765808,4700.419921875,0.0047004190273582935,0.7598583698272705,0.3740480840206146,0.022183174267411232,,,,,,,,
52,11.0,2543,0.6649308204650879,0.621317446231842,0.5999643802642822,,,,,,,0.6855144500732422,0.6747728586196899,0.6135194301605225,5135.7578125,0.005135757382959127,0.5444918274879456,0.42731666564941406,0.022407887503504753
52,,2543,,,,0.5184035301208496,4481.95751953125,0.004481958225369453,0.7571012377738953,0.3827551305294037,0.02213245816528797,,,,,,,,
53,14.0,2591,0.6702694296836853,0.668258011341095,0.6172664761543274,,,,,,,0.6937262415885925,0.6772938370704651,0.615542471408844,5339.33544921875,0.0053393361158668995,0.6187991499900818,0.5003259181976318,0.02262677438557148
53,,2591,,,,0.5797143578529358,4448.81201171875,0.004448811057955027,0.7541852593421936,0.3507273197174072,0.021830400452017784,,,,,,,,
54,13.0,2639,0.6718149185180664,0.671619176864624,0.6349667310714722,,,,,,,0.6846149563789368,0.6715676784515381,0.6152083873748779,7743.8125,0.007743812166154385,0.7485869526863098,0.6269499659538269,0.022778654471039772
54,,2639,,,,0.5105485320091248,4275.271484375,0.004275270737707615,0.6974656581878662,0.3290916979312897,0.02176489681005478,,,,,,,,
55,11.0,2687,0.6582770943641663,0.5962084531784058,0.611774206161499,,,,,,,0.6754083037376404,0.6325101256370544,0.6241379976272583,3440.031982421875,0.0034400317817926407,0.5600964426994324,0.4458162486553192,0.022168025374412537
55,,2687,,,,0.5237756371498108,4122.4267578125,0.004122426733374596,0.8106088638305664,0.435604453086853,0.021798864006996155,,,,,,,,
56,12.0,2735,0.6606842875480652,0.6600865125656128,0.6365278959274292,,,,,,,0.67323899269104,0.6978563070297241,0.6327437162399292,3147.470947265625,0.0031474707648158073,0.5095686912536621,0.3955000042915344,0.022184252738952637
56,,2735,,,,0.5382402539253235,3909.272216796875,0.00390927167609334,0.7175929546356201,0.3361169397830963,0.021689308807253838,,,,,,,,
57,10.0,2783,0.6737119555473328,0.6115068197250366,0.6135004162788391,,,,,,,0.6621987223625183,0.6761064529418945,0.633079469203949,4210.04638671875,0.004210046026855707,0.5187454223632812,0.40332144498825073,0.02224278450012207
57,,2783,,,,0.5499439239501953,3903.944580078125,0.0039039442781358957,0.7328670620918274,0.3450078070163727,0.02179669588804245,,,,,,,,
58,15.0,2831,0.6734593510627747,0.653706967830658,0.6309864521026611,,,,,,,0.6608996391296387,0.6965131163597107,0.6346186995506287,2940.978515625,0.0029409779235720634,0.5492133498191833,0.4355222284793854,0.022150028496980667
58,,2831,,,,0.6999533772468567,4338.939453125,0.004338940139859915,0.7972797751426697,0.3347935676574707,0.021634085103869438,,,,,,,,
59,15.0,2879,0.670192539691925,0.6483961939811707,0.6441675424575806,,,,,,,0.6561772227287292,0.6645038723945618,0.6361309885978699,3748.865234375,0.0037488650996237993,0.6004615426063538,0.48720577359199524,0.021901370957493782
59,,2879,,,,0.5869934558868408,4668.19287109375,0.004668192472308874,0.7241169810295105,0.31860002875328064,0.021470382809638977,,,,,,,,
60,15.0,2927,0.6678017377853394,0.6724364161491394,0.6581106781959534,,,,,,,0.6622710227966309,0.6874189376831055,0.6525211930274963,3519.74609375,0.003519746009260416,0.48034432530403137,0.3683369755744934,0.0216975137591362
60,,2927,,,,0.574726939201355,4392.06005859375,0.0043920595198869705,0.6964197754859924,0.2982722222805023,0.021278413012623787,,,,,,,,
61,13.0,2975,0.6593198776245117,0.6516597270965576,0.6484830975532532,,,,,,,0.6546697616577148,0.6721642017364502,0.6498388051986694,3442.97119140625,0.003442971268668771,0.4848221242427826,0.3727227747440338,0.02173127606511116
61,,2975,,,,0.5034291744232178,4138.1845703125,0.004138183780014515,0.6755246520042419,0.31358978152275085,0.021216413006186485,,,,,,,,
62,15.0,3023,0.6612647771835327,0.6608455181121826,0.661727249622345,,,,,,,0.6490818858146667,0.6642379760742188,0.6557189226150513,2977.77099609375,0.0029777707532048225,0.5104901790618896,0.3977452516555786,0.021953437477350235
62,,3023,,,,0.5293824076652527,4030.413818359375,0.004030414391309023,0.6693196892738342,0.29446375370025635,0.021226882934570312,,,,,,,,
63,12.0,3071,0.653317391872406,0.6431484222412109,0.6717972159385681,,,,,,,0.6469361186027527,0.6369473934173584,0.6557385325431824,3294.718994140625,0.0032947189174592495,0.4682629406452179,0.357642263174057,0.021465199068188667
63,,3071,,,,0.5103446841239929,4013.566650390625,0.004013567231595516,0.6466661691665649,0.2821985185146332,0.02105633169412613,,,,,,,,
64,15.0,3119,0.6426041722297668,0.6402893662452698,0.6697776913642883,,,,,,,0.6479664444923401,0.6523715853691101,0.6586427688598633,2814.00732421875,0.002814007457345724,0.4989253878593445,0.3882932960987091,0.021563617512583733
64,,3119,,,,0.542181670665741,3844.147216796875,0.0038441468495875597,0.6803585886955261,0.30039313435554504,0.021006101742386818,,,,,,,,
65,13.0,3167,0.6386533975601196,0.6317448019981384,0.6742033958435059,,,,,,,0.6541820764541626,0.6684861183166504,0.6530163288116455,4780.4482421875,0.004780448507517576,0.5020886063575745,0.3861647844314575,0.022228684276342392
65,,3167,,,,0.4770073890686035,3777.180419921875,0.003777179168537259,0.6286527514457703,0.2815726101398468,0.02095983736217022,,,,,,,,
66,14.0,3215,0.6621577739715576,0.6676137447357178,0.6646893620491028,,,,,,,0.6463558673858643,0.674315869808197,0.6348484754562378,6780.029296875,0.006780029274523258,0.6228389143943787,0.5074748396873474,0.021716805174946785
66,,3215,,,,0.5242453217506409,4018.6162109375,0.004018615931272507,0.682328462600708,0.31166476011276245,0.020904449746012688,,,,,,,,
67,13.0,3263,0.6527472138404846,0.6453306674957275,0.6899889707565308,,,,,,,0.638339638710022,0.6532293558120728,0.6601093411445618,3846.654052734375,0.0038466542027890682,0.4666779339313507,0.35666215419769287,0.021233821287751198
67,,3263,,,,0.463186651468277,3887.0126953125,0.0038870119024068117,0.6027215123176575,0.2638101875782013,0.020686175674200058,,,,,,,,
68,16.0,3311,0.6292639970779419,0.6045277118682861,0.6884520053863525,,,,,,,0.6299207210540771,0.6374312043190002,0.6714783906936646,2666.393310546875,0.0026663935277611017,0.47307726740837097,0.36273935437202454,0.021534306928515434
68,,3311,,,,0.5271303057670593,3952.407470703125,0.00395240867510438,0.6373036503791809,0.26582440733909607,0.02079232595860958,,,,,,,,
69,9.0,3359,0.6244599223136902,0.5781614780426025,0.6994917988777161,,,,,,,0.6444146633148193,0.5807799100875854,0.662973165512085,5433.0,0.0054329996928572655,0.56798255443573,0.45145803689956665,0.022218286991119385
69,,3359,,,,0.5104451775550842,3936.388916015625,0.003936388995498419,0.6698876023292542,0.30750128626823425,0.02064545825123787,,,,,,,,
70,16.0,3407,0.6333350539207458,0.616328775882721,0.708303689956665,,,,,,,0.6381990909576416,0.6380974650382996,0.6879644393920898,2847.2021484375,0.0028472021222114563,0.4611956775188446,0.3532157838344574,0.021026527509093285
70,,3407,,,,0.5192055106163025,3933.642333984375,0.003933642525225878,0.618443489074707,0.2520787715911865,0.02056564949452877,,,,,,,,
71,10.0,3455,0.6350035667419434,0.5411819815635681,0.7123613357543945,,,,,,,0.6402456164360046,0.5364559292793274,0.6593796610832214,5359.01416015625,0.00535901403054595,0.8261052966117859,0.7084399461746216,0.02246127836406231
71,,3455,,,,0.5032448172569275,3620.837890625,0.003620837815105915,0.6944653987884521,0.336144357919693,0.020615559071302414,,,,,,,,
