epoch,stable_dims,step,train_C,train_D,train_D_topk,train_I,train_I_topk,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_D_topk,val_I,val_I_topk,val_dim_kl,val_kl,val_loss,val_pred,val_recon,w_cluster,w_pred,w_recon
26,,1295,,,,,,0.5370892286300659,2831.594482421875,0.0028315940871834755,0.13086757063865662,0.3253480792045593,0.021934619173407555,,,,,,,,,,,0.12197157740592957,0.1509995311498642,0.7270288467407227
27,15.0,1343,0.6946510672569275,0.44539543986320496,0.6116096377372742,0.19388717412948608,0.7110005021095276,,,,,,,0.7029290795326233,0.4292449951171875,0.6525478363037109,0.23876215517520905,0.5501011610031128,3448.533935546875,0.0034485338255763054,0.6899421811103821,0.5665960311889648,0.02397952601313591,,,
27,,1343,,,,,,0.5614625215530396,2737.6025390625,0.002737603150308132,0.11078845709562302,0.2690986692905426,0.02169736661016941,,,,,,,,,,,0.10215473920106888,0.1365881711244583,0.7612571120262146
28,17.0,1391,0.6889726519584656,0.44326671957969666,0.6268129944801331,0.19867713749408722,0.7218146920204163,,,,,,,0.685397207736969,0.4137408435344696,0.6361377239227295,0.24829944968223572,0.5392581820487976,2781.90869140625,0.0027819087263196707,0.64906245470047,0.5332794189453125,0.02260022610425949,,,
28,,1391,,,,,,0.565438985824585,2712.82861328125,0.002712828107178211,0.10528036206960678,0.25320377945899963,0.021489329636096954,,,,,,,,,,,0.09717166423797607,0.13358436524868011,0.7692438960075378
29,17.0,1439,0.6840903162956238,0.4432590901851654,0.6470749378204346,0.2031455636024475,0.7416260838508606,,,,,,,0.6937106251716614,0.45985227823257446,0.6789445281028748,0.23474521934986115,0.5557737946510315,2749.202392578125,0.002749202772974968,0.6523129940032959,0.540084719657898,0.021895816549658775,,,
29,,1439,,,,,,0.48983776569366455,2643.96875,0.0026439682114869356,0.09109282493591309,0.22826309502124786,0.02123953215777874,,,,,,,,,,,0.09304723888635635,0.1268925815820694,0.7800602316856384
30,20.0,1487,0.6856966614723206,0.4308084547519684,0.6622473001480103,0.20992788672447205,0.7574813365936279,,,,,,,0.6743299961090088,0.41761693358421326,0.6331713795661926,0.25828415155410767,0.5669173002243042,2597.58154296875,0.002597582060843706,0.5925367474555969,0.48315081000328064,0.021357687190175056,,,
30,,1487,,,,,,0.542396605014801,2668.646240234375,0.0026686459314078093,0.09010840207338333,0.2062281221151352,0.021031804382801056,,,,,,,,,,,0.0896538496017456,0.12118405848741531,0.7891622185707092
31,20.0,1535,0.6835679411888123,0.4289056658744812,0.67751145362854,0.21583735942840576,0.7760507464408875,,,,,,,0.6739596724510193,0.42683979868888855,0.6196868419647217,0.25389716029167175,0.5718123316764832,2051.07958984375,0.002051079645752907,0.6224498748779297,0.5146293044090271,0.02115388587117195,,,
31,,1535,,,,,,0.5003264546394348,2541.684814453125,0.0025416838470846415,0.08417558670043945,0.1753939986228943,0.020838456228375435,,,,,,,,,,,0.09317492693662643,0.1218346431851387,0.7849903702735901
32,17.0,1583,0.6719706058502197,0.4296034276485443,0.7024368047714233,0.21626204252243042,0.7844029664993286,,,,,,,0.6618229150772095,0.4449402093887329,0.6465219259262085,0.2511516213417053,0.5687505602836609,2031.1663818359375,0.002031166572123766,0.6128057837486267,0.5056831240653992,0.021018285304307938,,,
32,,1583,,,,,,0.4899790287017822,2352.034423828125,0.002352034440264106,0.07971801608800888,0.1656884104013443,0.020543746650218964,,,,,,,,,,,0.09051144868135452,0.11380377411842346,0.7956848740577698
33,17.0,1631,0.6664435267448425,0.436509907245636,0.6901071667671204,0.21293054521083832,0.7634778022766113,,,,,,,0.6631696820259094,0.42935433983802795,0.6287252902984619,0.25122764706611633,0.5710095167160034,2039.0120849609375,0.0020390120334923267,0.5929257273674011,0.4869551956653595,0.020786317065358162,,,
33,,1631,,,,,,0.46590980887413025,2461.747314453125,0.0024617468006908894,0.07674150168895721,0.21873940527439117,0.020455557852983475,,,,,,,,,,,0.07905545830726624,0.10622967034578323,0.8147149085998535
34,15.0,1679,0.6574369072914124,0.428434818983078,0.6728714108467102,0.21585609018802643,0.7815951108932495,,,,,,,0.6580685377120972,0.41762909293174744,0.6508575677871704,0.2507166564464569,0.5563490390777588,1989.3114013671875,0.0019893115386366844,0.7111251354217529,0.6026575565338135,0.021295657381415367,,,
34,,1679,,,,,,0.4310018718242645,2349.622802734375,0.002349622780457139,0.061872515827417374,0.15534238517284393,0.020329734310507774,,,,,,,,,,,0.06711407005786896,0.10273412615060806,0.8301517963409424
35,19.0,1727,0.6609169840812683,0.43308839201927185,0.6775314807891846,0.21570150554180145,0.7907702922821045,,,,,,,0.6571844220161438,0.4217459559440613,0.6291589140892029,0.25813812017440796,0.5665555596351624,1987.3941650390625,0.0019873944111168385,0.5969028472900391,0.49168288707733154,0.020646512508392334,,,
35,,1727,,,,,,0.4077191650867462,2349.45654296875,0.0023494570050388575,0.054360780864953995,0.1395179182291031,0.020104829221963882,,,,,,,,,,,0.05900660157203674,0.09514821320772171,0.8458450436592102
36,16.0,1775,0.6549217104911804,0.4136187732219696,0.6654928922653198,0.2212146371603012,0.7968719005584717,,,,,,,0.6541582942008972,0.437380313873291,0.6479514241218567,0.24739697575569153,0.5731678605079651,1915.538330078125,0.0019155385671183467,0.5944318771362305,0.4892745614051819,0.02064834162592888,,,
36,,1775,,,,,,0.3589214086532593,2249.051025390625,0.002249050885438919,0.05280642583966255,0.1860247105360031,0.019996820017695427,,,,,,,,,,,0.052097465842962265,0.08832439035177231,0.8595781326293945
37,19.0,1823,0.6479088068008423,0.4154612720012665,0.6602690815925598,0.22529450058937073,0.787869930267334,,,,,,,0.6517066359519958,0.41182368993759155,0.6070123910903931,0.26034027338027954,0.5585146546363831,2172.924560546875,0.00217292457818985,0.6116929650306702,0.5076868534088135,0.020366646349430084,,,
37,,1823,,,,,,0.36544927954673767,2367.055908203125,0.0023670559749007225,0.047311678528785706,0.1524568349123001,0.01971845142543316,,,,,,,,,,,0.04615092650055885,0.08859967440366745,0.8652493357658386
38,18.0,1871,0.6499192118644714,0.42417290806770325,0.6918207406997681,0.2215857058763504,0.8119813203811646,,,,,,,0.6409353017807007,0.40823087096214294,0.6154047250747681,0.2661767601966858,0.5686618089675903,1774.0621337890625,0.0017740621697157621,0.5966444611549377,0.493712455034256,0.02023157849907875,,,
38,,1871,,,,,,0.3513459861278534,2310.445068359375,0.002310445299372077,0.040301404893398285,0.10384983569383621,0.019659141078591347,,,,,,,,,,,0.040871091187000275,0.08394598960876465,0.8751829266548157
39,14.0,1919,0.6459971070289612,0.41945531964302063,0.699828028678894,0.22137108445167542,0.8153431415557861,,,,,,,0.6437141299247742,0.4112042188644409,0.6083008646965027,0.2637786865234375,0.5739216208457947,2134.241943359375,0.0021342416293919086,0.6211094856262207,0.5177434086799622,0.020246360450983047,,,
39,,1919,,,,,,0.2590745687484741,2246.761962890625,0.002246761927381158,0.03278416395187378,0.09312734752893448,0.019500523805618286,,,,,,,,,,,0.033147428184747696,0.07230733335018158,0.8945452570915222
40,17.0,1967,0.6448069214820862,0.42368024587631226,0.6759488582611084,0.2150290161371231,0.8065177798271179,,,,,,,0.6480423808097839,0.42689815163612366,0.61680006980896,0.2504938542842865,0.5493590831756592,1803.60400390625,0.001803603838197887,0.6034734845161438,0.5011811256408691,0.0200977586209774,,,
40,,1967,,,,,,0.2541121542453766,2384.731201171875,0.0023847315460443497,0.030558854341506958,0.09360974282026291,0.01953834295272827,,,,,,,,,,,0.02710697613656521,0.06529849022626877,0.9075943827629089
41,14.0,2015,0.6346967220306396,0.4081929326057434,0.695264995098114,0.22641324996948242,0.8133993148803711,,,,,,,0.6318009495735168,0.41848859190940857,0.5768659710884094,0.2701776325702667,0.5676536560058594,2251.3349609375,0.0022513349540531635,0.60478276014328,0.5011429786682129,0.020277688279747963,,,
41,,2015,,,,,,0.6567737460136414,2514.068359375,0.0025140682701021433,0.04472579061985016,0.08602318167686462,0.019391877576708794,,,,,,,,,,,0.0340360626578331,0.0719236209988594,0.8940402865409851
42,16.0,2063,0.6360877752304077,0.4100198745727539,0.6896511912345886,0.2220374047756195,0.8181036114692688,,,,,,,0.6535152196884155,0.4071986675262451,0.602741539478302,0.2700464427471161,0.5554569363594055,1974.5633544921875,0.0019745633471757174,0.6220736503601074,0.5182012915611267,0.0203795675188303,,,
42,,2063,,,,,,0.35848426818847656,2384.546875,0.002384547144174576,0.035564862191677094,0.07383643835783005,0.019358186051249504,,,,,,,,,,,0.03627762570977211,0.06530315428972244,0.8984191417694092
43,15.0,2111,0.652226448059082,0.41111794114112854,0.6667003035545349,0.21333082020282745,0.8068258762359619,,,,,,,0.664764404296875,0.4258532226085663,0.6291109919548035,0.24201035499572754,0.5670433044433594,2068.801513671875,0.002068801550194621,0.5874549150466919,0.48515385389328003,0.020046457648277283,,,
43,,2111,,,,,,0.3066675364971161,2417.263427734375,0.002417262876406312,0.026645326986908913,0.073030486702919,0.019107041880488396,,,,,,,,,,,0.019722802564501762,0.0489092655479908,0.9313678741455078
44,17.0,2159,0.6393781900405884,0.40512487292289734,0.6515027284622192,0.2192922979593277,0.8043193221092224,,,,,,,0.6387472748756409,0.4093087613582611,0.5672025084495544,0.27262040972709656,0.5698821544647217,2131.041259765625,0.00213104160502553,0.5894935131072998,0.4887084364891052,0.019730789586901665,,,
44,,2159,,,,,,0.8642997741699219,2542.59375,0.002542594214901328,0.04159363731741905,0.0846007689833641,0.019147025421261787,,,,,,,,,,,0.0245379488915205,0.0627877339720726,0.9126743674278259
45,13.0,2207,0.6376729607582092,0.4070529043674469,0.6535913348197937,0.21861028671264648,0.8112442493438721,,,,,,,0.6502264738082886,0.42728590965270996,0.5562667846679688,0.2422962784767151,0.5423277616500854,2458.23095703125,0.0024582308251410723,0.6140079498291016,0.5119615793228149,0.019917622208595276,,,
45,,2207,,,,,,0.3958996832370758,2624.1298828125,0.002624129643663764,0.03257716819643974,0.06829417496919632,0.01895546354353428,,,,,,,,,,,0.02972850389778614,0.058908697217702866,0.911362886428833
46,16.0,2255,0.6592953205108643,0.4026266932487488,0.6095239520072937,0.20377062261104584,0.7810515761375427,,,,,,,0.6348589658737183,0.4162624180316925,0.5726469159126282,0.25734028220176697,0.5299221277236938,2248.556884765625,0.002248556585982442,0.6750619411468506,0.5718188285827637,0.020198890939354897,,,
46,,2255,,,,,,0.46933260560035706,2685.007568359375,0.002685007406398654,0.032417189329862595,0.1016811951994896,0.0189417265355587,,,,,,,,,,,0.020763857290148735,0.05451114475727081,0.9247250556945801
47,13.0,2303,0.6606112718582153,0.41639992594718933,0.63206946849823,0.20157146453857422,0.7959486842155457,,,,,,,0.6511988639831543,0.4343220889568329,0.6139916181564331,0.2513999044895172,0.561004102230072,1907.501953125,0.0019075023010373116,0.6063680052757263,0.5048273801803589,0.019926641136407852,,,
47,,2303,,,,,,0.3884022533893585,2712.7490234375,0.0027127487119287252,0.02816404215991497,0.07424760609865189,0.01880505681037903,,,,,,,,,,,0.0175721924751997,0.051164355129003525,0.9312636256217957
48,13.0,2351,0.6603513956069946,0.41055387258529663,0.6046139597892761,0.20262159407138824,0.7992333769798279,,,,,,,0.6480860710144043,0.4413887560367584,0.5940831303596497,0.24620895087718964,0.5561047196388245,2240.366455078125,0.0022403665352612734,0.6071696281433105,0.5065698623657227,0.019671881571412086,,,
48,,2351,,,,,,0.9917147755622864,2744.426025390625,0.002744426252320409,0.03590501472353935,0.06737273186445236,0.018758978694677353,,,,,,,,,,,0.015237442217767239,0.050062838941812515,0.9346998333930969
